time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-01-24T21:58:58.643Z,56.3029,-150.0131,25.5,4.2,ml,,,,0.87,ak,ak18193113,2018-01-24T23:54:12.307Z,"245km SE of Kodiak, Alaska",earthquake,,3.6,,,reviewed,ak,ak
2018-01-24T20:36:45.491Z,58.8875,-153.6072,6.3,2.5,ml,,,,0.66,ak,ak18193085,2018-01-24T20:42:40.222Z,"121km SE of Old Iliamna, Alaska",earthquake,,0.1,,,automatic,ak,ak
2018-01-24T19:46:25.560Z,56.0139,-149.1371,13.04,4.1,mb,,153,2.592,0.69,us,us2000cnxs,2018-01-24T20:14:06.040Z,"280km SE of Kodiak, Alaska",earthquake,7.4,6.3,0.166,10,reviewed,us,us
2018-01-24T19:43:59.950Z,63.2298,-150.6202,132.5,2.5,ml,,,,0.27,ak,ak18192997,2018-01-24T20:03:25.040Z,"83km WSW of Cantwell, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-01-24T19:38:26.152Z,56.4291,-148.9215,0.2,2.9,ml,,,,0.96,ak,ak18192986,2018-01-24T23:57:23.472Z,"259km SE of Kodiak, Alaska",earthquake,,3.3,,,reviewed,ak,ak
2018-01-24T19:30:13.650Z,34.2771667,-117.521,7.68,2.5,ml,100,20,0.04302,0.19,ci,ci38091640,2018-01-28T09:09:08.567Z,"3km NW of Lytle Creek, CA",earthquake,0.12,0.31,0.154,141,reviewed,ci,ci
2018-01-24T19:21:38.550Z,22.8003,94.4688,104.88,4.6,mb,,75,0.817,0.65,us,us2000cnxe,2018-01-24T19:43:09.040Z,"81km E of Falam, Burma",earthquake,5.3,4.7,0.075,53,reviewed,us,us
2018-01-24T18:50:32.630Z,56.341,-148.6182,10,4,mb,,177,2.603,0.97,us,us2000cnwt,2018-01-24T19:20:22.040Z,"280km ESE of Kodiak, Alaska",earthquake,8.9,2,0.232,5,reviewed,us,us
2018-01-24T18:42:29.073Z,56.4949,-150.1154,0.2,3.4,ml,,,,0.91,ak,ak18192944,2018-01-24T18:56:12.870Z,"200km SE of Kodiak, Alaska",earthquake,,7.1,,,automatic,ak,ak
2018-01-24T18:30:49.206Z,56.5203,-148.4652,11.9,4,ml,,,,0.66,ak,ak18192871,2018-01-24T23:49:31.062Z,"277km ESE of Kodiak, Alaska",earthquake,,3.8,,,reviewed,ak,ak
2018-01-24T18:15:26.828Z,56.0102,-150.1052,15.2,3.7,ml,,,,0.74,ak,ak18192856,2018-01-24T23:45:50.006Z,"253km SE of Kodiak, Alaska",earthquake,,100.1,,,reviewed,ak,ak
2018-01-24T17:50:48.377Z,56.4678,-149.0775,15.9,3.8,ml,,,,0.53,ak,ak18192842,2018-01-24T18:48:03.040Z,"256km SE of Kodiak, Alaska",earthquake,,8.2,,,automatic,ak,ak
2018-01-24T17:39:56.865Z,56.2497,-149.7777,33.5,3.8,ml,,,,0.46,ak,ak18192794,2018-01-24T17:48:21.143Z,"234km SE of Kodiak, Alaska",earthquake,,8.1,,,automatic,ak,ak
2018-01-24T17:20:04.983Z,56.7261,-149.802,5.6,3.5,ml,,,,0.71,ak,ak18192789,2018-01-24T17:31:38.450Z,"196km SE of Kodiak, Alaska",earthquake,,11.8,,,automatic,ak,ak
2018-01-24T17:16:00.450Z,17.9711,-65.9291,3,3.06,md,4,245,0.1778,0.16,pr,pr2018024004,2018-01-24T22:16:58.124Z,"4km SSE of Palo Seco, Puerto Rico",earthquake,1.97,1.09,0.13,3,reviewed,pr,pr
2018-01-24T16:58:35.356Z,56.2556,-150.0426,1.7,3,ml,,,,0.68,ak,ak18192777,2018-01-24T23:41:08.851Z,"223km SE of Kodiak, Alaska",earthquake,,2.7,,,reviewed,ak,ak
2018-01-24T16:46:40.130Z,55.4815,-149.0144,10,4.8,mb,,148,2.949,1.17,us,us2000cnsx,2018-01-24T18:23:36.040Z,Gulf of Alaska,earthquake,8,1.9,0.051,120,reviewed,us,us
2018-01-24T15:49:56.970Z,-59.2085,-25.012,10,4.8,mb,,83,8.004,0.62,us,us2000cnsd,2018-01-24T22:35:48.040Z,"88km ESE of Bristol Island, South Sandwich Islands",earthquake,12.4,1.9,0.086,42,reviewed,us,us
2018-01-24T15:49:47.290Z,55.6542,-149.9017,10,4.4,mb,,185,2.45,0.94,us,us2000cnsa,2018-01-24T22:24:45.040Z,"282km SE of Kodiak, Alaska",earthquake,7.5,2,0.38,2,reviewed,us,us
2018-01-24T15:28:15.801Z,56.2471,-149.9247,0,3.9,ml,,,,0.93,ak,ak18192677,2018-01-24T22:14:01.040Z,"253km SE of Kodiak, Alaska",earthquake,,3.9,,,automatic,ak,ak
2018-01-24T14:54:53.100Z,34.6754,-97.5007,5.753,2.7,ml,,70,,0.54,us,us2000cnr4,2018-01-25T12:29:55.040Z,"17km SSW of Maysville, Oklahoma",earthquake,1.3,3.9,,,reviewed,tul,tul
2018-01-24T14:17:36.310Z,55.9293,-150.1326,4.24,3.9,mb,,205,2.174,0.74,us,us2000cnqr,2018-01-24T14:31:37.040Z,"249km SE of Kodiak, Alaska",earthquake,11,8.1,0.362,2,reviewed,us,us
2018-01-24T13:55:37.800Z,37.5482,141.1264,58.91,4.4,mb,,138,0.416,0.86,us,us2000cnql,2018-01-24T15:21:19.405Z,"13km ENE of Namie, Japan",earthquake,8.1,6.2,0.11,24,reviewed,us,us
2018-01-24T13:53:48.120Z,9.499,-69.836,10,4.4,mb,,84,0.997,1.38,us,us2000cnqk,2018-01-24T16:30:52.658Z,"14km ENE of Paraiso de Chabasquen, Venezuela",earthquake,3.1,2,0.162,11,reviewed,us,us
2018-01-24T13:42:05.320Z,56.2621,-148.3157,19.14,4.2,mb,,156,2.787,0.58,us,us2000cnqn,2018-01-24T14:20:12.040Z,Gulf of Alaska,earthquake,8.9,8.3,0.236,5,reviewed,us,us
2018-01-24T13:41:13.250Z,20.3913333,-155.6001667,48.2,3.56,ml,5,195,,0.11,hv,hv70020192,2018-01-25T21:27:12.866Z,"42km NE of Kapaau, Hawaii",earthquake,3.22,3.82,0.152,46,reviewed,hv,hv
2018-01-24T13:21:29.056Z,57.2622,-148.221,20.1,3.7,ml,,,,0.53,ak,ak18192532,2018-01-24T13:47:19.754Z,"262km SE of Kodiak, Alaska",earthquake,,16.6,,,automatic,ak,ak
2018-01-24T13:07:32.918Z,56.267,-148.8433,12.9,3,ml,,,,0.9,ak,ak18192527,2018-01-25T10:58:17.040Z,"258km ESE of Kodiak, Alaska",earthquake,,2169.9,,,reviewed,ak,ak
2018-01-24T12:54:38.821Z,56.4124,-149.1144,0,3.6,ml,,,,0.84,ak,ak18192514,2018-01-24T13:04:22.058Z,"251km SE of Kodiak, Alaska",earthquake,,15,,,automatic,ak,ak
2018-01-24T12:25:47.675Z,56.4204,-149.2124,91.4,3.6,ml,,,,0.66,ak,ak18192488,2018-01-24T12:38:36.802Z,"246km SE of Kodiak, Alaska",earthquake,,1.8,,,automatic,ak,ak
2018-01-24T11:55:08.675Z,60.23,-150.3002,34,2.7,ml,,,,1.12,ak,ak18192439,2018-01-24T12:03:11.309Z,"42km SE of Sterling, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-01-24T11:54:41.030Z,55.5867,-149.2098,8.71,3.9,mb,,163,2.797,0.99,us,us2000cnpi,2018-01-24T13:06:55.040Z,Gulf of Alaska,earthquake,8.8,6.2,0.258,4,reviewed,us,us
2018-01-24T11:48:20.496Z,56.5534,-148.6151,11.8,3.1,ml,,,,0.52,ak,ak18192430,2018-01-24T23:20:14.555Z,"267km ESE of Kodiak, Alaska",earthquake,,5.2,,,reviewed,ak,ak
2018-01-24T11:45:13.538Z,60.3298,-145.0127,2.2,2.6,ml,,,,1.3,ak,ak18192440,2018-01-24T11:59:49.906Z,"47km ESE of Cordova, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-01-24T11:44:19.200Z,56.1683,-149.2091,12,4.2,ml,,,,0.64,ak,ak18192402,2018-01-24T23:04:10.809Z,"270km SE of Kodiak, Alaska",earthquake,,3,,,reviewed,ak,ak
2018-01-24T10:51:20.650Z,41.1217,142.294,39.75,6.2,mww,,63,0.988,0.98,us,us2000cnnl,2018-01-27T04:11:29.433Z,"92km ESE of Mutsu, Japan",earthquake,4.9,4.9,0.073,18,reviewed,us,us
2018-01-24T10:30:41.072Z,57.5853,-151.7298,35.2,2.8,ml,,,,0.84,ak,ak18192333,2018-01-24T10:34:03.397Z,"46km ESE of Kodiak, Alaska",earthquake,,5.2,,,automatic,ak,ak
2018-01-24T10:30:12.960Z,55.8953,-150.1421,4.96,4.1,mb,,152,2.191,0.59,us,us2000cnnh,2018-01-24T10:50:42.040Z,"252km SE of Kodiak, Alaska",earthquake,8.7,7,0.214,6,reviewed,us,us
2018-01-24T10:13:18.798Z,56.4425,-149.2878,120.4,3.6,ml,,,,0.47,ak,ak18192327,2018-01-24T10:20:21.230Z,"241km SE of Kodiak, Alaska",earthquake,,12.3,,,automatic,ak,ak
2018-01-24T09:59:38.730Z,55.7255,-149.3153,8.65,4.1,mb,,149,2.666,0.55,us,us2000cnnb,2018-01-24T22:45:36.502Z,"297km SE of Kodiak, Alaska",earthquake,7.9,7,0.198,7,reviewed,us,us
2018-01-24T09:46:00.080Z,18.5218,-68.391,82,3.03,md,5,170,1.3503,0.36,pr,pr2018024003,2018-01-24T12:24:57.921Z,"6km SSE of Punta Cana, Dominican Republic",earthquake,4.24,4.17,0.41,4,reviewed,pr,pr
2018-01-24T09:26:59.210Z,56.4251,-148.5947,20.09,3.8,ml,,165,2.566,0.69,us,us2000cnn2,2018-01-24T09:53:59.040Z,"276km ESE of Kodiak, Alaska",earthquake,8.7,9.6,0.052,48,reviewed,us,us
2018-01-24T09:03:40.433Z,58.6889,-144.8729,2.5,2.9,ml,,,,0.84,ak,ak18192281,2018-01-24T09:09:38.821Z,"117km SE of Middleton Island, Alaska",earthquake,,10.4,,,automatic,ak,ak
2018-01-24T09:02:12.906Z,56.2927,-148.7943,12.1,3.1,ml,,,,0.52,ak,ak18192282,2018-01-24T22:34:54.192Z,"275km SE of Kodiak, Alaska",earthquake,,6030.2,,,reviewed,ak,ak
2018-01-24T08:41:32.190Z,18.6183,-67.0171,92,2.79,md,3,313,0.6188,0.14,pr,pr2018024002,2018-01-24T12:24:01.953Z,"13km N of Isabela, Puerto Rico",earthquake,9.92,7.72,0.07,3,reviewed,pr,pr
2018-01-24T07:56:07.614Z,56.9899,-148.4714,48.7,3.4,ml,,,,0.8,ak,ak18192254,2018-01-24T08:10:39.350Z,"252km ESE of Kodiak, Alaska",earthquake,,1.8,,,automatic,ak,ak
2018-01-24T07:46:05.390Z,-20.3273,-69.1123,103.06,5.4,mb,,44,0.189,1.39,us,us2000cnmf,2018-01-24T19:16:50.040Z,"108km E of Iquique, Chile",earthquake,5.9,5.4,0.043,183,reviewed,us,us
2018-01-24T07:41:12.779Z,55.9887,-150.2315,7.6,2.8,ml,,,,0.71,ak,ak18192246,2018-01-24T22:18:28.242Z,"240km SE of Kodiak, Alaska",earthquake,,18.2,,,reviewed,ak,ak
2018-01-24T06:57:07.680Z,2.6186,95.4701,22.19,4.9,mb,,133,2.476,0.77,us,us2000cnm1,2018-01-25T00:59:40.034Z,"102km W of Sinabang, Indonesia",earthquake,8.7,5.3,0.082,47,reviewed,us,us
2018-01-24T06:52:27.611Z,56.0194,-149.2666,12.3,3.8,ml,,,,0.63,ak,ak18192217,2018-01-24T22:02:55.158Z,"274km SE of Kodiak, Alaska",earthquake,,1961.2,,,reviewed,ak,ak
2018-01-24T06:35:21.924Z,57.4099,-150.6535,0,2.8,ml,,,,0.9,ak,ak18192198,2018-01-24T06:39:04.816Z,"113km ESE of Kodiak, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-01-24T06:29:31.125Z,56.0179,-149.968,11.1,3.8,ml,,,,0.7,ak,ak18192184,2018-01-24T21:49:40.948Z,"247km SE of Kodiak, Alaska",earthquake,,5.6,,,reviewed,ak,ak
2018-01-24T06:03:39.120Z,36.9396667,-121.6635,7.51,2.61,md,53,49,0.008857,0.08,nc,nc72957821,2018-01-25T18:12:42.512Z,"6km NNW of Aromas, CA",earthquake,0.15,0.26,0.215,51,reviewed,nc,nc
2018-01-24T06:02:33.030Z,36.9373333,-121.661,7.1,3.6,mw,137,47,0.006471,0.13,nc,nc72957816,2018-01-28T12:35:05.929Z,"6km NNW of Aromas, CA",earthquake,0.11,0.2,,6,reviewed,nc,nc
2018-01-24T05:32:15.263Z,56.2859,-149.3361,75.2,3.6,ml,,,,0.84,ak,ak18192149,2018-01-24T05:36:42.808Z,"250km SE of Kodiak, Alaska",earthquake,,14.3,,,automatic,ak,ak
2018-01-24T05:24:43.975Z,59.203,-145.9464,0,2.5,ml,,,,0.97,ak,ak18192145,2018-01-24T05:28:31.200Z,"33km SE of Middleton Island, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-01-24T04:45:35.992Z,56.5649,-149.0434,11.8,3.1,ml,,,,0.51,ak,ak18192024,2018-01-24T21:26:26.943Z,"244km ESE of Kodiak, Alaska",earthquake,,3.6,,,reviewed,ak,ak
2018-01-24T03:14:42.130Z,26.3986,140.8037,487.24,4.7,mb,,91,1.416,1.1,us,us2000cnj8,2018-01-24T03:27:19.040Z,"159km WSW of Chichi-shima, Japan",earthquake,10.9,7.9,0.077,52,reviewed,us,us
2018-01-24T03:06:10.128Z,56.0409,-149.7999,11.8,3,ml,,,,0.57,ak,ak18191851,2018-01-24T19:59:21.706Z,"251km SE of Kodiak, Alaska",earthquake,,7,,,reviewed,ak,ak
2018-01-24T02:44:37.530Z,55.66,-149.124,7.02,3.7,mb,,201,2.792,0.78,us,us2000cnj1,2018-01-24T19:46:54.802Z,Gulf of Alaska,earthquake,8.9,8.1,0.502,1,reviewed,us,us
2018-01-24T02:36:50.103Z,56.143,-149.8156,11.8,3.8,ml,,,,0.62,ak,ak18191820,2018-01-24T18:43:36.812Z,"245km SE of Kodiak, Alaska",earthquake,,7.6,,,reviewed,ak,ak
2018-01-24T02:35:35.036Z,55.899,-149.7088,2.7,3.8,ml,,,,0.67,ak,ak18191818,2018-01-24T18:33:54.080Z,"267km SE of Kodiak, Alaska",earthquake,,6.5,,,reviewed,ak,ak
2018-01-24T02:31:29.890Z,56.4497,-148.6107,20.92,3.9,mb,,180,2.545,0.88,us,us2000cniq,2018-01-24T03:35:01.040Z,"274km ESE of Kodiak, Alaska",earthquake,8.7,9.5,0.362,2,reviewed,us,us
2018-01-24T01:53:32.950Z,-17.803,-178.646,520.13,4.2,mb,,91,7.659,1.08,us,us2000cnim,2018-01-24T03:26:38.040Z,"259km SE of Lambasa, Fiji",earthquake,13.1,6.7,0.051,109,reviewed,us,us
2018-01-24T01:28:47.930Z,55.601,-149.216,7.12,4.1,mb,,192,2.785,1.12,us,us2000cnih,2018-01-24T18:01:45.085Z,Gulf of Alaska,earthquake,9.1,7,0.262,4,reviewed,us,us
2018-01-24T01:14:05.910Z,55.9203,-149.7827,7.01,4.2,mb,,181,2.337,1.05,us,us2000cnib,2018-01-24T03:02:54.040Z,"262km SE of Kodiak, Alaska",earthquake,8.9,7.3,0.373,2,reviewed,us,us
2018-01-24T01:07:47.080Z,56.0841,-149.4942,20.22,3.9,mb,,188,2.385,0.95,us,us2000cni8,2018-01-24T02:53:35.040Z,"259km SE of Kodiak, Alaska",earthquake,8.9,9.9,0.296,3,reviewed,us,us
2018-01-24T00:54:42.660Z,55.6651,-149.2662,10,4.7,mb,,152,2.724,0.96,us,us2000cnhv,2018-01-24T01:09:13.040Z,Gulf of Alaska,earthquake,8.5,1.9,0.052,112,reviewed,us,us
2018-01-24T00:54:10.830Z,56.0193,-150.1568,20.31,3.8,mb,,145,2.109,1,us,us2000cnif,2018-01-24T02:39:39.040Z,"240km SE of Kodiak, Alaska",earthquake,9.1,12.1,0.293,3,reviewed,us,us
2018-01-24T00:40:15.120Z,-4.6542,102.6268,69.3,4.7,mb,,95,2.702,0.7,us,us2000cnhp,2018-01-24T00:56:24.040Z,"100km SW of Pagaralam, Indonesia",earthquake,7.3,6.2,0.09,37,reviewed,us,us
2018-01-24T00:32:03.858Z,55.9305,-150.1456,15.5,3,ml,,,,0.96,ak,ak18191681,2018-01-24T19:18:58.599Z,"248km SE of Kodiak, Alaska",earthquake,,175.2,,,reviewed,ak,ak
2018-01-24T00:25:59.900Z,56.2155,-149.2216,19.96,4.1,mb,,177,2.419,1.08,us,us2000cnhe,2018-01-24T02:34:20.040Z,"261km SE of Kodiak, Alaska",earthquake,8.1,8.3,0.37,2,reviewed,us,us
2018-01-24T00:22:32.540Z,56.319,-149.9845,20.43,3.9,mb,,187,2.031,1.15,us,us2000cnhh,2018-01-24T02:26:49.040Z,"220km SE of Kodiak, Alaska",earthquake,8.9,10.1,0.512,1,reviewed,us,us
2018-01-24T00:04:48.620Z,56.5333,-148.5141,10,5.5,mww,,139,2.546,0.84,us,us2000cnh7,2018-01-24T20:05:12.576Z,"273km ESE of Kodiak, Alaska",earthquake,6.2,1.8,0.041,58,reviewed,us,us
2018-01-24T00:02:09.370Z,56.0409,-150.0041,6.3,4.8,ml,,,,1.14,ak,ak18191576,2018-01-24T00:51:22.040Z,"241km SE of Kodiak, Alaska",earthquake,,3.5,,,reviewed,ak,ak
2018-01-23T23:59:46.174Z,56.2607,-150.1601,8.3,4.2,ml,,,,0.87,ak,ak18191568,2018-01-24T00:44:27.216Z,"268km SSE of Kodiak, Alaska",earthquake,,8,,,reviewed,ak,ak
2018-01-23T23:59:34.980Z,55.6887,-150.0549,10,3.8,mb,,242,2.362,0.95,us,us2000cnh9,2018-01-24T00:36:22.040Z,"274km SSE of Kodiak, Alaska",earthquake,10.2,2,0.508,1,reviewed,us,us
2018-01-23T23:54:53.590Z,-2.6556,-76.6813,119.71,4.6,mb,,74,1.877,1.01,us,us2000cnh2,2018-01-24T00:28:59.040Z,"163km ESE of Macas, Ecuador",earthquake,6.5,6.7,0.058,87,reviewed,us,us
2018-01-23T23:21:27.939Z,56.594,-148.1506,12,5.3,ml,,,,0.52,ak,ak18191541,2018-01-25T00:34:48.773Z,"290km ESE of Kodiak, Alaska",earthquake,,7.3,,,reviewed,ak,ak
2018-01-23T23:17:30.160Z,18.135,-68.1306,81,3.16,md,10,178,1.029,0.22,pr,pr2018023002,2018-01-24T06:07:32.260Z,"57km SSE of Punta Cana, Dominican Republic",earthquake,2.47,1.7,0.18,5,reviewed,pr,pr
2018-01-23T23:14:01.590Z,35.1191,23.2,10,4.6,mb,,60,3.266,0.94,us,us2000cngk,2018-01-26T22:16:18.715Z,"45km WSW of Palaiochora, Greece",earthquake,6.8,1.7,0.075,53,reviewed,us,us
2018-01-23T23:09:09.490Z,-5.7538,-12.5497,10,5.6,mb,,35,2.813,0.88,us,us2000cngh,2018-01-24T21:32:52.850Z,Ascension Island region,earthquake,8.1,1.8,0.032,349,reviewed,us,us
2018-01-23T22:57:46.980Z,19.7955,-156.7698333,21.56,3.06,ml,19,209,0.7232,0.21,hv,hv70019972,2018-01-24T00:50:29.010Z,"82km WNW of Kailua-Kona, Hawaii",earthquake,1.31,9.91,0.218,7,reviewed,hv,hv
2018-01-23T22:55:53.700Z,18.6478,-68.4256,115,3.43,md,7,178,1.3266,0.7,pr,pr2018023001,2018-01-24T02:35:35.040Z,"39km NE of Punta Cana, Dominican Republic",earthquake,9.44,5.28,0.14,5,reviewed,pr,pr
2018-01-23T22:13:21.505Z,56.2172,-149.3307,1.8,3.8,ml,,,,1.28,ak,ak18191503,2018-01-23T22:37:55.956Z,"268km SE of Kodiak, Alaska",earthquake,,3.5,,,reviewed,ak,ak
2018-01-23T22:04:07.440Z,55.9232,-149.4121,7.64,3.7,ml,,234,2.508,0.69,us,us2000cnfl,2018-01-24T02:20:42.040Z,"276km SE of Kodiak, Alaska",earthquake,9.2,8.6,0.066,30,reviewed,us,us
2018-01-23T21:52:30.670Z,-62.5061,165.4575,10,5.1,mb,,108,8.716,0.61,us,us2000cnet,2018-01-24T19:51:42.040Z,Balleny Islands region,earthquake,10.3,1.9,0.099,33,reviewed,us,us
2018-01-23T21:27:19.746Z,55.8914,-149.2259,1.6,3.6,ml,,,,1.08,ak,ak18190191,2018-01-23T21:43:38.490Z,"286km SE of Kodiak, Alaska",earthquake,,6.1,,,reviewed,ak,ak
2018-01-23T21:25:29.170Z,56.153,-149.2311,20.01,2.9,ml,,242,2.457,0.51,us,us2000cngy,2018-01-23T23:52:29.040Z,"265km SE of Kodiak, Alaska",earthquake,11.4,11.6,0.148,6,reviewed,us,us
2018-01-23T21:09:12.201Z,56.3855,-149.2606,6.3,3.6,ml,,,,1.15,ak,ak18190130,2018-01-23T23:30:52.040Z,"252km SE of Kodiak, Alaska",earthquake,,3.6,,,reviewed,ak,ak
2018-01-23T21:00:55.290Z,36.4753333,-121.0278333,7.36,3.41,mw,87,93,0.05103,0.1,nc,nc72957626,2018-01-26T18:03:44.299Z,"12km ESE of Pinnacles, CA",earthquake,0.14,0.23,,5,reviewed,nc,nc
2018-01-23T20:55:26.450Z,47.5246667,-122.7731667,50.56,2.69,ml,13,82,0.02506,0.13,uw,uw61365291,2018-01-28T19:39:53.202Z,"8km WSW of Navy Yard City, Washington",earthquake,0.68,0.91,0.297,12,reviewed,uw,uw
2018-01-23T20:41:19.243Z,56.1947,-148.72,12.4,3.9,ml,,,,0.57,ak,ak18188863,2018-01-24T18:55:29.040Z,"271km SE of Kodiak, Alaska",earthquake,,1081.7,,,reviewed,ak,ak
2018-01-23T20:20:16.828Z,56.175,-149.41,3,4.1,ml,,,,0.82,ak,ak18188762,2018-01-24T18:37:25.040Z,"261km SE of Kodiak, Alaska",earthquake,,4.3,,,reviewed,ak,ak
2018-01-23T20:03:26.130Z,56.2078,-149.8131,23.05,3.9,ml,,167,2.168,0.91,us,us2000cnbe,2018-01-24T16:59:02.040Z,"236km SE of Kodiak, Alaska",earthquake,6.9,9.5,0.053,46,reviewed,us,us
2018-01-23T19:37:03.580Z,55.8689,-149.3576,7.88,3.9,ml,,163,2.564,0.85,us,us2000cnc9,2018-01-25T22:45:51.040Z,"283km SE of Kodiak, Alaska",earthquake,8.4,7.4,0.059,38,reviewed,us,us
2018-01-23T19:26:15.769Z,56.5442,-148.5603,12.1,3.3,ml,,,,0.92,ak,ak18187330,2018-01-25T22:31:47.040Z,"275km ESE of Kodiak, Alaska",earthquake,,6722,,,reviewed,ak,ak
2018-01-23T19:11:28.045Z,56.0845,-149.2885,9.9,4.3,ml,,,,0.87,ak,ak18187129,2018-01-25T22:27:00.040Z,"275km SE of Kodiak, Alaska",earthquake,,7.1,,,reviewed,ak,ak
2018-01-23T18:36:46.190Z,35.6726667,-121.0866667,6.01,2.5,md,75,95,0.05541,0.05,nc,nc72957561,2018-01-25T10:49:30.084Z,"10km ENE of San Simeon, CA",earthquake,0.08,0.21,0.163,67,reviewed,nc,nc
2018-01-23T18:26:26.640Z,55.5993,-149.1459,8.55,4.1,mb,,178,2.818,0.84,us,us2000cn8f,2018-01-25T22:18:37.040Z,Gulf of Alaska,earthquake,8.2,7.4,0.52,1,reviewed,us,us
2018-01-23T18:00:58.560Z,55.7411,-149.1985,9.69,4.1,ml,,184,2.71,0.75,us,us2000cnbp,2018-01-25T22:09:04.040Z,"300km SE of Kodiak, Alaska",earthquake,8.2,7.6,0.056,42,reviewed,us,us
2018-01-23T17:38:29.710Z,-3.2911,130.5447,13.12,4.9,mb,,50,1.741,0.75,us,us2000cn6q,2018-01-25T21:42:45.040Z,"180km E of Amahai, Indonesia",earthquake,5.3,4.4,0.058,94,reviewed,us,us
2018-01-23T17:32:05.820Z,36.4072,140.8948,26.23,4.5,mb,,154,1.461,1.01,us,us2000cnh0,2018-01-25T17:20:33.269Z,"28km ENE of Oarai, Japan",earthquake,7.2,6.1,0.139,15,reviewed,us,us
2018-01-23T17:29:06.203Z,56.2316,-149.8703,12,4.4,ml,,,,0.91,ak,ak18184442,2018-01-25T16:12:09.040Z,"234km SE of Kodiak, Alaska",earthquake,,8.4,,,reviewed,ak,ak
2018-01-23T17:28:32.860Z,-34.9425,179.5389,333.21,4.1,mb,,209,2.797,1.03,us,us2000cn69,2018-01-25T15:51:51.040Z,South of the Kermadec Islands,earthquake,13,10.5,0.14,14,reviewed,us,us
2018-01-23T17:23:43.768Z,56.9992,-149.9791,0,3.8,ml,,,,1.08,ak,ak18184400,2018-01-23T20:38:40.919Z,"170km ESE of Kodiak, Alaska",earthquake,,12.1,,,automatic,ak,ak
2018-01-23T17:23:35.280Z,56.0142,-149.7168,19.99,4.4,mb,,189,2.315,0.72,us,us2000cn6d,2018-01-25T15:44:04.040Z,"256km SE of Kodiak, Alaska",earthquake,9.7,6.9,0.135,16,reviewed,us,us
2018-01-23T17:17:20.680Z,55.882,-150.1288,10,4.3,mb,,177,2.205,1.13,us,us2000cn62,2018-01-25T15:41:29.040Z,"253km SE of Kodiak, Alaska",earthquake,6.1,2,0.375,2,reviewed,us,us
2018-01-23T16:58:08.066Z,56.2785,-148.5575,12,4.1,ml,,,,0.7,ak,ak18183157,2018-01-23T22:29:57.040Z,"285km SE of Kodiak, Alaska",earthquake,,7.4,,,reviewed,ak,ak
2018-01-23T16:26:59.100Z,-27.8251,-176.4948,35,4.9,mb,,137,1.895,1.39,us,us2000cn56,2018-01-23T22:03:41.040Z,"210km NE of Raoul Island, New Zealand",earthquake,7.6,1.9,0.106,28,reviewed,us,us
2018-01-23T16:20:55.460Z,56.1007,-150.0358,14.2,4.3,mb,,243,2.118,1.26,us,us2000cn5a,2018-01-23T21:49:42.040Z,"237km SE of Kodiak, Alaska",earthquake,12.5,10.3,0.531,1,reviewed,us,us
2018-01-23T16:13:20.850Z,56.1232,-149.293,6.8,3.2,ml,,,,0.89,ak,ak18183020,2018-01-23T21:35:14.040Z,"268km SE of Kodiak, Alaska",earthquake,,4.3,,,reviewed,ak,ak
2018-01-23T15:55:07.240Z,56.399,-148.5846,10,4.1,mb,,151,2.586,0.67,us,us2000cn4p,2018-01-23T21:16:58.040Z,"278km ESE of Kodiak, Alaska",earthquake,4.4,1.9,0.261,4,reviewed,us,us
2018-01-23T15:51:05.323Z,56.5762,-149.727,10,3.3,ml,,,,0.98,ak,ak18181803,2018-01-23T20:43:59.040Z,"213km SE of Kodiak, Alaska",earthquake,,0,,,reviewed,ak,ak
2018-01-23T15:43:12.020Z,55.994,-149.8655,15.1,4.3,ml,,,,1.04,ak,ak18181760,2018-01-23T20:24:51.040Z,"223km SE of Kodiak, Alaska",earthquake,,179.9,,,reviewed,ak,ak
2018-01-23T15:38:16.400Z,55.7068,-149.2205,8.01,4.1,mb,,169,2.72,0.81,us,us2000cn4b,2018-01-24T15:01:25.040Z,Gulf of Alaska,earthquake,9.5,6.2,0.37,2,reviewed,us,us
2018-01-23T15:35:25.700Z,56.0012,-150.1911,10,3.1,ml,,215,2.104,0.67,us,us2000cn4x,2018-01-23T18:17:43.040Z,"240km SE of Kodiak, Alaska",earthquake,4.7,2,0.085,18,reviewed,us,us
2018-01-23T14:50:36.980Z,56.0479,-149.5657,10,4.2,mb,,224,2.369,0.88,us,us2000cn48,2018-01-23T17:51:11.040Z,"259km SE of Kodiak, Alaska",earthquake,11,2,0.373,2,reviewed,us,us
2018-01-23T14:49:31.779Z,56.0535,-149.3167,10.3,3.4,ml,,,,0.87,ak,ak18180338,2018-01-24T14:59:30.040Z,"261km SE of Kodiak, Alaska",earthquake,,0,,,reviewed,ak,ak
2018-01-23T14:38:27.880Z,56.2287,-148.4932,12,3.6,ml,,,,0.73,ak,ak18180296,2018-01-24T14:44:18.040Z,"300km SE of Kodiak, Alaska",earthquake,,45969.5,,,reviewed,ak,ak
