time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-01-28T10:18:54.920Z,36.7639,-98.3179,5,2.8,mb_lg,,114,0.095,0.38,us,us2000cqm5,2018-01-28T21:11:09.173Z,"3km ENE of Cherokee, Oklahoma",earthquake,1.4,2,0.085,36,reviewed,us,us
2018-01-28T10:11:27.430Z,-28.2989,-68.964,85.27,5.1,mww,,29,1.27,1.56,us,us2000cqm4,2018-01-28T13:34:53.418Z,"89km NW of Vinchina, Argentina",earthquake,6,5.5,0.057,30,reviewed,us,us
2018-01-28T09:56:01.750Z,56.0445,-149.462,18.94,3.9,ml,,188,2.421,0.98,us,us2000cqm2,2018-01-28T10:07:12.040Z,"264km SE of Kodiak, Alaska",earthquake,9.3,8.8,0.06,36,reviewed,us,us
2018-01-28T08:42:39.010Z,59.8266,-136.6749,10,2.6,ml,,78,0.573,1.31,us,us2000cqlm,2018-01-28T11:08:32.040Z,"87km WNW of Skagway, Alaska",earthquake,4,2,0.044,67,reviewed,us,us
2018-01-28T08:15:57.459Z,56.2416,-150.1581,91.6,3.2,ml,,,,0.65,ak,ak18216859,2018-01-28T08:22:26.731Z,"219km SE of Kodiak, Alaska",earthquake,,6.3,,,automatic,ak,ak
2018-01-28T07:59:10.378Z,55.9728,-149.7568,10,3.6,ml,,,,0.82,ak,ak18216844,2018-01-28T21:32:48.530Z,"258km SE of Kodiak, Alaska",earthquake,,0,,,reviewed,ak,ak
2018-01-28T07:58:01.450Z,55.9471,-150.1195,7.57,3.9,mb,,189,2.169,0.65,us,us2000cql3,2018-01-28T09:34:13.040Z,"248km SE of Kodiak, Alaska",earthquake,8.1,7.5,0.364,2,reviewed,us,us
2018-01-28T07:39:04.456Z,56.2183,-149.9248,0.2,3.9,ml,,,,0.91,ak,ak18216826,2018-01-28T08:14:19.040Z,"258km SE of Kodiak, Alaska",earthquake,,4.5,,,automatic,ak,ak
2018-01-28T07:35:18.471Z,56.6161,-148.7859,0.2,3.7,ml,,,,0.83,ak,ak18216816,2018-01-28T08:00:24.040Z,"266km ESE of Kodiak, Alaska",earthquake,,8.4,,,automatic,ak,ak
2018-01-28T06:10:03.260Z,-18.8689,-175.3878,182.69,4.6,mb,,87,5.171,1.04,us,us2000cqkk,2018-01-28T06:34:18.040Z,"150km W of Neiafu, Tonga",earthquake,11.5,7.2,0.052,108,reviewed,us,us
2018-01-28T06:06:25.570Z,52.6719,-173.5723,170.72,4.3,mb,,126,0.607,1.04,us,us2000cqke,2018-01-28T07:25:40.040Z,"68km NE of Atka, Alaska",earthquake,12.6,8.1,0.044,146,reviewed,us,us
2018-01-28T06:03:48.390Z,-16.037,-74.9038,10,4.8,mb,,151,4.443,1,us,us2000cqkb,2018-01-28T07:02:04.040Z,"73km SSW of Acari, Peru",earthquake,9.2,1.9,0.07,62,reviewed,us,us
2018-01-28T05:34:31.250Z,56.4158,-149.4568,20.4,4,mb,,148,2.188,0.68,us,us2000cqk0,2018-01-28T07:41:05.040Z,"235km SE of Kodiak, Alaska",earthquake,8.1,9.1,0.298,3,reviewed,us,us
2018-01-28T05:30:14.935Z,56.0343,-150.2437,0,3.7,ml,,,,0.87,ak,ak18215615,2018-01-28T10:52:19.040Z,"252km SE of Kodiak, Alaska",earthquake,,4.9,,,automatic,ak,ak
2018-01-28T05:02:58.196Z,57.4313,-157.0748,103.1,2.6,ml,,,,0.55,ak,ak18215028,2018-01-28T13:05:37.867Z,"142km S of King Salmon, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-01-28T05:02:57.957Z,57.4062,-157.0098,105.1,2.6,ml,,,,0.34,ak,ak18215025,2018-01-28T05:06:14.205Z,"144km S of King Salmon, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-01-28T04:44:02.970Z,55.627,-149.229,6.67,4.6,mb,,148,2.764,0.92,us,us2000cqjl,2018-01-28T23:23:06.547Z,Gulf of Alaska,earthquake,7.4,4.9,0.072,57,reviewed,us,us
2018-01-28T04:04:17.577Z,56.2404,-150.2173,20,3.2,ml,,,,0.79,ak,ak18214962,2018-01-28T04:12:09.871Z,"217km SE of Kodiak, Alaska",earthquake,,3.6,,,automatic,ak,ak
2018-01-28T03:43:31.040Z,-37.883,-74.2241,10,4.3,mb,,137,1.117,0.52,us,us2000cqjd,2018-01-28T23:18:23.040Z,"58km WSW of Lebu, Chile",earthquake,7.2,2,0.202,7,reviewed,us,us
2018-01-28T03:35:24.090Z,56.4992,-148.8947,22.22,3.5,ml,,186,2.387,0.52,us,us2000cqja,2018-01-28T04:07:58.040Z,"256km ESE of Kodiak, Alaska",earthquake,5.8,9.7,0.05,52,reviewed,us,us
2018-01-28T03:21:43.843Z,56.0001,-150.2431,0,3.1,ml,,,,0.95,ak,ak18214377,2018-01-28T03:31:19.275Z,"238km SE of Kodiak, Alaska",earthquake,,4.8,,,automatic,ak,ak
2018-01-28T03:13:13.370Z,18.9378,-66.2073,31,2.88,md,5,340,0.8052,0.49,pr,pr2018028001,2018-01-28T23:05:50.040Z,"44km N of Dorado, Puerto Rico",earthquake,5.77,25.02,0.14,4,reviewed,pr,pr
2018-01-28T03:10:14.530Z,66.2044,-157.6068,7,2.7,ml,,,,0.65,ak,ak18214368,2018-01-28T03:37:50.040Z,"84km SSW of Kobuk, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-01-28T02:43:19.800Z,55.5677,166.2838,10,4.7,mb,,160,5.146,0.84,us,us2000cqiz,2018-01-28T02:57:58.040Z,"45km NNE of Nikol'skoye, Russia",earthquake,11.9,1.9,0.051,116,reviewed,us,us
2018-01-28T02:18:13.610Z,8.9322,126.6116,35,5,mb,,117,2.114,1.14,us,us2000cqiv,2018-01-28T13:36:57.737Z,"34km E of Aras-asan, Philippines",earthquake,8.1,1.9,0.045,156,reviewed,us,us
2018-01-28T02:05:09.403Z,55.9361,-150.0718,10,3,ml,,,,0.76,ak,ak18213785,2018-01-28T20:06:50.551Z,"250km SE of Kodiak, Alaska",earthquake,,0,,,reviewed,ak,ak
2018-01-28T02:02:58.915Z,57.9985,-151.5991,15,2.6,ml,,,,0.85,ak,ak18213775,2018-01-28T02:06:07.836Z,"53km ENE of Kodiak, Alaska",earthquake,,1.4,,,automatic,ak,ak
2018-01-28T02:02:32.800Z,56.0117,-149.6808,22.22,4,ml,,164,2.333,0.73,us,us2000cqil,2018-01-28T02:25:33.396Z,"258km SE of Kodiak, Alaska",earthquake,5.3,9.5,0.058,39,reviewed,us,us
2018-01-28T01:52:56.711Z,63.1772,-144.2757,9.6,2.6,ml,,,,1.18,ak,ak18213759,2018-01-28T09:55:34.045Z,"67km WSW of Tok, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-01-28T01:51:51.401Z,51.7508,-178.5013,22.7,2.6,ml,,,,0.61,ak,ak18213757,2018-01-28T19:49:52.102Z,"28km WSW of Tanaga Volcano, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2018-01-28T01:47:26.640Z,19.4128342,-155.2344971,40.97,2.58,md,46,63,0.004246,0.16,hv,hv70023277,2018-01-28T02:06:13.040Z,"2km S of Volcano, Hawaii",earthquake,0.59,0.52,0.21,3,automatic,hv,hv
2018-01-28T01:10:50.580Z,19.0791,-66.4435,60,2.75,md,6,293,0.7955,0.42,pr,pr2018028000,2018-01-28T04:12:44.943Z,"68km N of Tierras Nuevas Poniente, Puerto Rico",earthquake,4.76,9.82,0.06,6,reviewed,pr,pr
2018-01-28T01:10:23.590Z,56.0321,-149.8112,19.4,3.5,ml,,292,2.261,0.47,us,us2000cqi7,2018-01-28T01:30:06.040Z,"251km SE of Kodiak, Alaska",earthquake,11.7,12.3,0.066,30,reviewed,us,us
2018-01-28T00:44:48.773Z,61.72,-148.1758,0.1,2.8,ml,,,,1.07,ak,ak18213169,2018-01-28T00:57:44.771Z,"36km ESE of Sutton-Alpine, Alaska",earthquake,,0.9,,,automatic,ak,ak
2018-01-28T00:34:44.370Z,55.5098,166.3895,10,4.3,mb,,160,5.174,0.8,us,us2000cqi0,2018-01-28T00:51:52.040Z,"43km NE of Nikol'skoye, Russia",earthquake,13.1,1.9,0.088,37,reviewed,us,us
2018-01-28T00:11:32.880Z,52.3532,-168.6308,37.53,5.1,mb,,148,0.903,1.07,us,us2000cqhr,2018-01-28T00:44:35.456Z,"67km SSE of Nikolski, Alaska",earthquake,9.3,7.4,0.052,122,reviewed,us,us
2018-01-28T00:10:12.430Z,52.3344,-168.507,26.71,4.3,mb,,190,0.978,1.13,us,us2000cqhs,2018-01-28T00:39:42.040Z,"71km SSE of Nikolski, Alaska",earthquake,15,11.9,0.169,10,reviewed,us,us
2018-01-28T00:08:53.960Z,55.5503,166.3905,10,5.1,mb,,97,5.192,0.84,us,us2000cqhi,2018-01-28T00:23:03.040Z,"47km NNE of Nikol'skoye, Russia",earthquake,9.6,1.9,0.035,271,reviewed,us,us
2018-01-27T23:51:20.640Z,55.4689,166.4758,10,4.9,mb,,107,5.201,0.72,us,us2000cqhb,2018-01-28T00:08:59.040Z,"43km NE of Nikol'skoye, Russia",earthquake,6.1,1.7,0.041,184,reviewed,us,us
